,Product Name,Prices,Images
0,Aashirvaad Mini Soya Chunks 200g,₹60.00,
1,Aashirvaad Soya Chunks 200g,₹60.00,
2,Aashirvaad Gluten Free Flour 1Kg,₹238.00,
3,Aashirvaad Salt Active 1kg,₹50.00,
4,Aashirvaad Himalayan Pink Salt 1kg,₹120.00,
5,"Aashirvaad Gram Flour, 200g",₹37.00,
6," Aashirvaad Gram Flour, 500g",₹90.00,
7,"Aashirvaad Gram Flour, 1Kg",₹180.00,
8,"Aashirvaad Besan, 200g",₹31.00,
9," Aashirvaad Besan, 500g",₹76.00,
10,Aashirvaad Mini Soya Chunks 200g,₹60.00,
11,Aashirvaad Soya Chunks 200g,₹60.00,
12,Aashirvaad Gluten Free Flour 1Kg,₹238.00,
13,Aashirvaad Salt Active 1kg,₹50.00,
14,Aashirvaad Himalayan Pink Salt 1kg,₹120.00,
15,"Aashirvaad Gram Flour, 200g",₹37.00,
16," Aashirvaad Gram Flour, 500g",₹90.00,
17,"Aashirvaad Gram Flour, 1Kg",₹180.00,
18,"Aashirvaad Besan, 200g",₹31.00,
19," Aashirvaad Besan, 500g",₹76.00,
20," Aashirvaad Besan, 1Kg",₹150.00,
21,"Aashirvaad Besan, 200g",₹31.00,
22," Aashirvaad Besan, 500g",₹76.00,
23,"Aashirvaad Besan, 1Kg",₹150.00,
24,Aashirvaad Superior MP Atta 10kg,₹542.00,
25,"Aashirvaad Dosa with Millets, 200g",₹95.00,
26,Aashirvaad Shudh Chakki Atta 5kg+500g Extra,₹235.00,
27,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 800 g",₹128.00,
28,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 80 g",₹13.00,
29,Aashirvaad Atta Superior MP 5kg,₹277.00,
30,Aashirvaad Mini Soya Chunks 200g,₹60.00,
31,Aashirvaad Soya Chunks 200g,₹60.00,
32,Aashirvaad Gluten Free Flour 1Kg,₹238.00,
33,Aashirvaad Salt Active 1kg,₹50.00,
34,Aashirvaad Himalayan Pink Salt 1kg,₹120.00,
35,"Aashirvaad Gram Flour, 200g",₹37.00,
36," Aashirvaad Gram Flour, 500g",₹90.00,
37,"Aashirvaad Gram Flour, 1Kg",₹180.00,
38,"Aashirvaad Besan, 200g",₹31.00,
39," Aashirvaad Besan, 500g",₹76.00,
40," Aashirvaad Besan, 1Kg",₹150.00,
41,"Aashirvaad Besan, 200g",₹31.00,
42," Aashirvaad Besan, 500g",₹76.00,
43,"Aashirvaad Besan, 1Kg",₹150.00,
44,Aashirvaad Superior MP Atta 10kg,₹542.00,
45,"Aashirvaad Dosa with Millets, 200g",₹95.00,
46,Aashirvaad Shudh Chakki Atta 5kg+500g Extra,₹235.00,
47,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 800 g",₹128.00,
48,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 80 g",₹13.00,
49,Aashirvaad Atta Superior MP 5kg,₹277.00,
50,"Aashirvaad Organic Urad Whole Dal, 500g",₹122.00,
51,"Aashirvaad Organic Urad Whole Dal, 1kg",₹242.00,
52,"Aashirvaad Organic Masur Dal, 1kg",₹203.00,
53,"Aashirvaad Organic Masur Dal, 500g",₹106.00,
54,"Aashirvaad Organic Rajma, 500g",₹158.00,
55,"Aashirvaad Organic Rajma, 1kg",₹298.00,
56,"Aashirvaad Organic Kabuli Chana, 500g",₹158.00,
57,Aashirvaad Organic Kabuli Chana 1kg,₹306.00,
58,"ITC Master Chef Meat Masala, 100g",₹110.00,
59,"ITC Master Chef Chicken Masala, 100g",₹110.00,
60,Aashirvaad Mini Soya Chunks 200g,₹60.00,
61,Aashirvaad Soya Chunks 200g,₹60.00,
62,Aashirvaad Gluten Free Flour 1Kg,₹238.00,
63,Aashirvaad Salt Active 1kg,₹50.00,
64,Aashirvaad Himalayan Pink Salt 1kg,₹120.00,
65,"Aashirvaad Gram Flour, 200g",₹37.00,
66," Aashirvaad Gram Flour, 500g",₹90.00,
67,"Aashirvaad Gram Flour, 1Kg",₹180.00,
68,"Aashirvaad Besan, 200g",₹31.00,
69," Aashirvaad Besan, 500g",₹76.00,
70," Aashirvaad Besan, 1Kg",₹150.00,
71,"Aashirvaad Besan, 200g",₹31.00,
72," Aashirvaad Besan, 500g",₹76.00,
73,"Aashirvaad Besan, 1Kg",₹150.00,
74,Aashirvaad Superior MP Atta 10kg,₹542.00,
75,"Aashirvaad Dosa with Millets, 200g",₹95.00,
76,Aashirvaad Shudh Chakki Atta 5kg+500g Extra,₹235.00,
77,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 800 g",₹128.00,
78,"Aashirvaad Millets Batter Mix - Mixed Flour, Rich In Fibre & Protein, 80 g",₹13.00,
